Dpto,Partido,Votos,Sufragantes,Porcentaje
Bogotá D.C.,Centro Democrático,373798,1844016,20.27
Amazonas,Centro Democrático,3629,21659,16.75
Antioquia,Centro Democrático,436896,1692837,25.80
Arauca,Centro Democrático,18934,72079,26.26
Atlántico,Partido Conservador,256433,888027,28.87
Bolívar,Partido de la U,140342,662814,21.17
Boyacá,Partido Conservador,74440,415882,17.89
Caldas,Partido de la U,73468,371438,19.77
Caquetá,Centro Democrático,21509,97564,22.04
Casanare,Centro Democrático,31736,120169,26.40
Cauca,Partido Liberal,83142,372825,22.30
Cesar,Partido de la U,92945,320186,29.02
Chocó,Partido de la U,26923,124677,21.59
Córdoba,Partido de la U,274603,665813,41.24
Cundinamarca,Centro Democrático,133349,737392,18.08
Guainía,Centro Democrático,1807,11475,15.74
Guaviare,Partido de la U,5645,26276,21.48
Huila,Centro Democrático,73398,345259,21.25
La Guajira,Partido de la U,60578,221631,27.33
Magdalena,Partido de la U,109817,425676,25.79
Meta,Partido de la U,107183,311184,34.44
Nariño,Partido Conservador,134202,532934,25.18
Norte de Santander,Partido Conservador,96742,487234,19.85
Putumayo,Partido Liberal,24432,84483,28.91
Quindío,Centro Democrático,37835,223636,16.91
Risaralda,Centro Democrático,54231,330515,16.40
Archipiélago de San Andrés,Partido Liberal,3292,16026,20.54
Santander,Partido Liberal,149942,733111,20.45
Sucre,Opcion Ciudadana,96430,403056,23.92
Tolima,Centro Democrático,82360,454934,18.10
Valle del Cauca,Partido de la U,181852,1217266,14.93
Vaupés,Partido de la U,856,9202,9.30
Vichada,Centro Democrático,4272,19920,21.44
